127.0.0.1 - - [14/Jun/2015:17:10:36 +0100] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2015:17:10:49 +0100] "GET / HTTP/1.1" 200 23690
127.0.0.1 - - [08/Sep/2015:15:00:56 +0100] "GET / HTTP/1.1" 200 23690
127.0.0.1 - - [08/Sep/2015:15:01:00 +0100] "GET / HTTP/1.1" 200 23690
127.0.0.1 - - [08/Sep/2015:15:02:38 +0100] "GET /SRDB HTTP/1.1" 301 231
127.0.0.1 - - [08/Sep/2015:15:02:38 +0100] "GET /SRDB/ HTTP/1.1" 200 162657
127.0.0.1 - - [08/Sep/2015:15:02:38 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [08/Sep/2015:15:03:00 +0100] "POST /SRDB/ HTTP/1.1" 200 445
127.0.0.1 - - [08/Sep/2015:15:03:00 +0100] "POST /SRDB/ HTTP/1.1" 200 442
127.0.0.1 - - [08/Sep/2015:15:03:00 +0100] "POST /SRDB/ HTTP/1.1" 200 439
127.0.0.1 - - [08/Sep/2015:15:03:00 +0100] "POST /SRDB/ HTTP/1.1" 200 1021
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 4361
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 7929
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 452
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 447
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 439
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 444
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 439
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 461
127.0.0.1 - - [08/Sep/2015:15:03:01 +0100] "POST /SRDB/ HTTP/1.1" 200 458
127.0.0.1 - - [08/Sep/2015:15:03:02 +0100] "POST /SRDB/ HTTP/1.1" 200 460
127.0.0.1 - - [08/Sep/2015:15:03:02 +0100] "POST /SRDB/ HTTP/1.1" 200 454
127.0.0.1 - - [08/Sep/2015:15:03:02 +0100] "POST /SRDB/ HTTP/1.1" 200 454
127.0.0.1 - - [08/Sep/2015:15:03:02 +0100] "POST /SRDB/ HTTP/1.1" 200 457
127.0.0.1 - - [08/Sep/2015:15:03:02 +0100] "POST /SRDB/ HTTP/1.1" 200 455
127.0.0.1 - - [08/Sep/2015:15:03:14 +0100] "POST /SRDB/ HTTP/1.1" 200 445
127.0.0.1 - - [08/Sep/2015:15:03:14 +0100] "POST /SRDB/ HTTP/1.1" 200 442
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 439
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 1015
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 4353
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 7867
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 452
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 447
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 439
127.0.0.1 - - [08/Sep/2015:15:03:15 +0100] "POST /SRDB/ HTTP/1.1" 200 444
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 439
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 461
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 458
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 460
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 454
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 454
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 457
127.0.0.1 - - [08/Sep/2015:15:03:16 +0100] "POST /SRDB/ HTTP/1.1" 200 455
